末,end,mò
冋,a desert/border,jiōng
交,to exchange,jiāo
聿,and then,yù
血,blood,xuè
宅,House,zhái
更,more/night-watch,gèng
困,sleepy,kùn
周,/v/ to circle; /n/ a week,zhōu
宛,winding,wǎn
析,to separate,xī
帚,broom,zhou
軍,army,jūn
荅,to answer,dā
眉,eyebrow,méi
容,"to hold, to allow",róng
鳥,bird,niǎo
頃,a short while,qǐng
賁,energetic,bì
會,meeting,huì
稟,to give,bǐng
鼻,nose,bí
難,disaster,nán
丂,sigh,kǎo
亠,lid,tóu
幺,small,yāo
上,above,shàng
文,writing,wén
五,five,wǔ
开,to open,kāi
召,to summon together,zhào
包,package,bāo
夗,to turn over when asleep,yuàn
玉,jade,yù
亥,pig (zodiac),hài
早,early,zǎo
戎,weaponry,róng
亘,stretching across,gèn
利,sharp,lì
戒,to guard against,jiè
來,to come,lái
咼,lopsided / to chat,guō
固,solid,gù
空,to be empty,kōng
昜,bright,yáng
香,fragrant,xiāng
則,regulation,zé
唐,to exaggerate,táng
魚,fish,yú
竟,"finally, eventually, actually",jìng
幾,how many?,jǐ
辟,law/rule,pì
鼠,mouse,shǔ
疑,to (wrongly) suspect,yí
覽,to look at,lǎn
巠,underground rver,jīng
⺮,bamboo,shì
兀,towering,wū
𠂤,to store up,duī
㠯,to use,yǐ
